NCTId,Market,Title,Sponsor,Phase,Mechanism,Interventions,Conditions,Status,StartDate,CompletionDate
NCT07262762,GLP-1,A Post-marketing Real-world Study for Evaluating Effectiveness and Safety of Spartina® (Tirzepatide Manufactured by CinnaGen) in Patients With Obesity and Overweight,Cinnagen,Not Applicable,Dual Agonist (GLP-1/GIP),,Obesity & Overweight,RECRUITING,2025-11-11,2025-12
NCT07262788,GLP-1,A Feasibility Study of Optimal Non-Pharmacological Lifestyle Modifications in People With Type 2 Diabetes (ON LiMiT),Steno Diabetes Center Copenhagen,NA,Other,"CH-rich diet with exercise, CH-reduced diet with exercise",Type 2 Diabetes,RECRUITING,2025-09-30,2027-03
NCT07257692,GLP-1,Reproducibility and Agreement of Appetite and Eating Behaviours in Response to Fixed Meals and the Modifying Effect of Feeding Status.,University Of Glasgow,NA,Other,"Standardised meal, Standardised meal",Healthy,COMPLETED,2024-06-12,2025-08-08
NCT07258394,GLP-1,"A Single-Center, Randomized, Double-Blind, Placebo-Controlled Clinical Trial Evaluating the Efficacy and Safety of Dimethyl Fumarate in Preserving Islet β-Cell Function in Patients With Type 1 Diabetes Mellitus",Nanjing Medical University,Phase 3,Other,"Dimethyl Fumarate Enteric-coated Capsules, Matching placebo capsules",Type 1 Diabetes,NOT_YET_RECRUITING,2025-12-31,2028-12-31
NCT07257484,GLP-1,Tirzepatide's Role in Postmenopausal HR+ Breast Cancer Survivors,Weill Medical College Of Cornell University,Phase 4,Dual Agonist (GLP-1/GIP),Tirzepatide,"Obesity (Disorder), Breast Cancer",NOT_YET_RECRUITING,2026-01-05,2027-07-06
NCT07253285,GLP-1,"Efficacy, Safety and Pharmacokinetics of Cagrilintide s.c. 2.4 mg as Monotherapy and in Combination With Semaglutide s.c. 2.4 mg (CagriSema) Once Weekly for Weight Management in Chidren and Adolescents With Overweight or Obesity",Novo Nordisk,Phase 3,Amylin Combo,"Cagrilintide, Semaglutide, Placebo cagrilintide, Placebo semaglutide","Overweight, Obesity",NOT_YET_RECRUITING,2026-01-08,2030-03-20
NCT07254988,GLP-1,Gut Peptides and Bone Remodeling in Children With Neuromuscular Disorders,University Of Copenhagen,NA,Other,"Meal test, GIP + GLP-2, Placebo","Spinal Muscular Atrophy (SMA), Cerebral Palsy (CP), Duchenne Muscular Dystrophy (DMD)",RECRUITING,2023-03-24,2026-12
NCT07254572,GLP-1,"A Randomized, Open-label, Clinical Trial Evaluating the Anti-atherosclerotic Efficacy of Selected Antidiabetic Drugs in Patients With Coronary Artery Disease and Pre-diabetes","National Institute Of Cardiology, Warsaw, Poland",Phase 4,GLP-1 Mono-agonist,"Semaglutide 14 MG [Rybelsus], Dapagliflozin (Forxiga), Metformin, Optimal Medical Therapy (OMT) And Lifestyle Intervention","Coronary Artery Disease, PreDiabetes",RECRUITING,2025-07-10,2029-08-01
NCT07254715,GLP-1,Does Itopride Improve Semaglutide Induced Gastroparesis Ultrasound Before Anesthesia? Randomized Controlled Trial,Ain Shams University,Phase 4,GLP-1 Mono-agonist,"Itopride HCI 50 mg, Placebo","Semaglutide-Induced Gastric Motility, Anesthesia",RECRUITING,2025-12,2026-04
NCT07251985,GLP-1,Cognitive Effects of Bioavailable Curcumin,"University Of California, Los Angeles",Phase 2,Other,"Curcumin, Placebo","Memory, Cognitive Function Decline",NOT_YET_RECRUITING,2026-02-01,2029-02-01
